,Unnamed: 0.1,Unnamed: 0,poster,title,certificate,runtime,genre,rating,about,director,stars,votes,gross_earn,clean about
3151,3151,3151,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,28 days,15,103 min,"['comedy', 'drama']",6.1,A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.,betty thomas,"('Sandra Bullock',), ('Viggo Mortensen',), ('Dominic West',), ('Elizabeth Perkins',)","49,941",$37.17M,"['bigcity', 'newspaper', 'columnist', 'forced', 'enter', 'drug', 'alcohol', 'rehab', 'center', 'ruining', 'sisters', 'wedding', 'crashing', 'stolen', 'limousine']"
3152,3152,3152,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,hard target,18,97 min,"['action', 'crime', 'thriller']",6.2,"A woman hires a drifter as her guide through New Orleans in search of her missing father. In the process, they discover a deadly game of cat and mouse behind his disappearance.",john woo,"('Jean-Claude Van Damme',), ('Lance Henriksen',), ('Yancy Butler',), ('Chuck Pfarrer',)","51,421",$32.59M,"['woman', 'hires', 'drifter', 'guide', 'new', 'orleans', 'search', 'missing', 'father', 'process', 'discover', 'deadly', 'game', 'cat', 'mouse', 'behind', 'disappearance']"
3153,3153,3153,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,a haunted house,15,86 min,"['comedy', 'fantasy', 'horror']",5.0,"Malcolm and Kisha move into their dream home, then learn that a demon also resides there. When Kisha becomes possessed, Malcolm--determined to keep his sex life on track--turns to a priest, a psychic, and a ghostbusting team for help.",michael tiddes,"('Marlon Wayans',), ('Essence Atkins',), ('Marlene Forte',), ('David Koechner',)","46,896",$40.04M,"['malcolm', 'kisha', 'move', 'dream', 'home', 'learn', 'demon', 'also', 'resides', 'kisha', 'becomes', 'possessed', 'malcolmdetermined', 'keep', 'sex', 'life', 'trackturns', 'priest', 'psychic', 'ghostbusting', 'team', 'help']"
3154,3154,3154,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,teeth,18,94 min,"['comedy', 'fantasy', 'horror']",5.4,"Still a stranger to her own body, a high school student discovers she has a physical advantage when she becomes the object of male violence.",mitchell lichtenstein,"('Jess Weixler',), ('John Hensley',), ('Josh Pais',), ('Hale Appleman',)","43,866",$0.35M,"['still', 'stranger', 'body', 'high', 'school', 'student', 'discovers', 'physical', 'advantage', 'becomes', 'object', 'male', 'violence']"
3155,3155,3155,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the natural,PG,138 min,"['drama', 'sport']",7.4,A middle-aged unknown comes seemingly out of nowhere to become a legendary baseball player with almost supernatural talent.,barry levinson,"('Robert Redford',), ('Robert Duvall',), ('Glenn Close',), ('Kim Basinger',)","49,128",$47.95M,"['middleaged', 'unknown', 'comes', 'seemingly', 'nowhere', 'become', 'legendary', 'baseball', 'player', 'almost', 'supernatural', 'talent']"
3156,3156,3156,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,spies like us,PG,102 min,"['adventure', 'comedy']",6.4,"Two bumbling government employees think they are U.S. spies, only to discover that they are actually decoys for Nuclear War.",john landis,"('Chevy Chase',), ('Dan Aykroyd',), ('Mark Stewart',), ('Sean Daniel',)","49,644",$60.09M,"['two', 'bumbling', 'government', 'employees', 'think', 'us', 'spies', 'discover', 'actually', 'decoys', 'nuclear', 'war']"
3157,3157,3157,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the bandit,15,128 min,"['crime', 'drama', 'thriller']",8.1,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",yavuz turgul,"('Sener Sen',), ('Ugur Yücel',), ('Sermin Hürmeriç',), ('Yesim Salkim',)","69,866",,"['baran', 'bandit', 'released', 'prison', '35', 'years', 'searches', 'vengeance', 'lover']"
3158,3158,3158,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the santa clause 2,U,104 min,"['comedy', 'family', 'fantasy']",5.7,"Scott Calvin has been a humble Santa Claus for eight years, but it might come to an end if he doesn't find a Mrs. Claus.",michael lembeck,"('Tim Allen',), ('Spencer Breslin',), ('Elizabeth Mitchell',), ('Eric Lloyd',)","56,890",$139.24M,"['scott', 'calvin', 'humble', 'santa', 'claus', 'eight', 'years', 'might', 'come', 'end', 'doesnt', 'find', 'mrs', 'claus']"
3159,3159,3159,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,think like a man,12A,123 min,"['comedy', 'romance']",6.5,Four friends conspire to turn the tables on their women when they discover the ladies have been using Steve Harvey's relationship advice against them.,tim story,"('Chris Brown',), ('Gabrielle Union',), ('Kevin Hart',), ('Michael Ealy',)","47,382",$91.55M,"['four', 'friends', 'conspire', 'turn', 'tables', 'women', 'discover', 'ladies', 'using', 'steve', 'harveys', 'relationship', 'advice']"
3160,3160,3160,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,ida,12A,82 min,['drama'],7.4,A novice nun about to take her vows uncovers a family secret dating back to the German occupation.,pawel pawlikowski,"('Agata Kulesza',), ('Agata Trzebuchowska',), ('Dawid Ogrodnik',), ('Jerzy Trela',)","57,646",$3.83M,"['novice', 'nun', 'take', 'vows', 'uncovers', 'family', 'secret', 'dating', 'back', 'german', 'occupation']"
3161,3161,3161,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the karate kid part iii,PG,112 min,"['action', 'drama', 'family']",5.2,"Ostracised villain John Kreese attempts to gain revenge on Daniel and Miyagi, with the help of a Vietnam War comrade, the wealthy owner of a toxic waste disposal business.",john g. avildsen,"('Ralph Macchio',), ('Pat Morita',), ('Robyn Lively',), ('Thomas Ian Griffith',)","62,499",$38.96M,"['ostracised', 'villain', 'john', 'kreese', 'attempts', 'gain', 'revenge', 'daniel', 'miyagi', 'help', 'vietnam', 'war', 'comrade', 'wealthy', 'owner', 'toxic', 'waste', 'disposal', 'business']"
3162,3162,3162,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the legend of drunken master,12,102 min,"['action', 'comedy']",7.5,A young martial artist is caught between respecting his pacifist father's wishes or stopping a group of disrespectful foreigners from stealing precious artifacts.,chia-liang liu,"('Jackie Chan',), ('Jackie Chan',), ('Ho-Sung Pak',), ('Lung Ti',)","45,992",$11.55M,"['young', 'martial', 'artist', 'caught', 'respecting', 'pacifist', 'fathers', 'wishes', 'stopping', 'group', 'disrespectful', 'foreigners', 'stealing', 'precious', 'artifacts']"
3163,3163,3163,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,anonymous,12A,130 min,"['drama', 'thriller']",6.8,"The theory that it was in fact Edward De Vere, Earl of Oxford, who penned Shakespeare's plays. Set against the backdrop of the succession of Queen Elizabeth I and the Essex rebellion against her.",roland emmerich,"('Rhys Ifans',), ('Vanessa Redgrave',), ('David Thewlis',), ('Sebastian Armesto',)","40,982",$4.46M,"['theory', 'fact', 'edward', 'de', 'vere', 'earl', 'oxford', 'penned', 'shakespeares', 'plays', 'set', 'backdrop', 'succession', 'queen', 'elizabeth', 'essex', 'rebellion']"
3164,3164,3164,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,eliza graves,15,112 min,"['drama', 'horror', 'mystery']",6.8,"An Oxford graduate takes up a job in a mental asylum, only to discover that the ""revolutionary"" new treatments are inhumane, and that there is more going on than meets the eye.",brad anderson,"('Kate Beckinsale',), ('Jim Sturgess',), ('David Thewlis',), ('Brendan Gleeson',)","56,669",,"['oxford', 'graduate', 'takes', 'job', 'mental', 'asylum', 'discover', 'revolutionary', 'new', 'treatments', 'inhumane', 'going', 'meets', 'eye']"
3165,3165,3165,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,big stan,15,105 min,"['action', 'comedy']",6.1,A weak con man panics when he learns he's going to prison for fraud. He hires a mysterious martial arts guru who helps transform him into a martial arts expert who can fight off inmates who want to hurt or love him.,rob schneider,"('Rob Schneider',), ('David Carradine',), ('Sally Kirkland',), ('Jennifer Morrison',)","44,618",,"['weak', 'con', 'man', 'panics', 'learns', 'hes', 'going', 'prison', 'fraud', 'hires', 'mysterious', 'martial', 'arts', 'guru', 'helps', 'transform', 'martial', 'arts', 'expert', 'fight', 'inmates', 'want', 'hurt', 'love']"
