,Unnamed: 0.1,Unnamed: 0,poster,title,certificate,runtime,genre,rating,about,director,stars,votes,gross_earn,clean about
0,0,0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the shawshank redemption,15,142 min,['drama'],9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",frank darabont,"('Tim Robbins',), ('Morgan Freeman',), ('Bob Gunton',), ('William Sadler',)","26,26,905",$28.34M,"['two', 'imprisoned', 'men', 'bond', 'number', 'years', 'finding', 'solace', 'eventual', 'redemption', 'acts', 'common', 'decency']"
1,1,1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the dark knight,12A,152 min,"['action', 'crime', 'drama']",9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",christopher nolan,"('Christian Bale',), ('Heath Ledger',), ('Aaron Eckhart',), ('Michael Caine',)","25,98,173",$534.86M,"['menace', 'known', 'joker', 'wreaks', 'havoc', 'chaos', 'people', 'gotham', 'batman', 'must', 'accept', 'one', 'greatest', 'psychological', 'physical', 'tests', 'ability', 'fight', 'injustice']"
2,2,2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,inception,12A,148 min,"['action', 'adventure', 'sci-fi']",8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",christopher nolan,"('Leonardo DiCaprio',), ('Joseph Gordon-Levitt',), ('Elliot Page',), ('Ken Watanabe',)","23,04,062",$292.58M,"['thief', 'steals', 'corporate', 'secrets', 'use', 'dreamsharing', 'technology', 'given', 'inverse', 'task', 'planting', 'idea', 'mind', 'ceo', 'tragic', 'past', 'may', 'doom', 'project', 'team', 'disaster']"
3,3,3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,fight club,18,139 min,['drama'],8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,david fincher,"('Brad Pitt',), ('Edward Norton',), ('Meat Loaf',), ('Zach Grenier',)","20,71,088",$37.03M,"['insomniac', 'office', 'worker', 'devilmaycare', 'soap', 'maker', 'form', 'underground', 'fight', 'club', 'evolves', 'much']"
4,4,4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,pulp fiction,18,154 min,"['crime', 'drama']",8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",quentin tarantino,"('John Travolta',), ('Uma Thurman',), ('Samuel L. Jackson',), ('Bruce Willis',)","20,11,013",$107.93M,"['lives', 'two', 'mob', 'hitmen', 'boxer', 'gangster', 'wife', 'pair', 'diner', 'bandits', 'intertwine', 'four', 'tales', 'violence', 'redemption']"
5,5,5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,forrest gump,12,142 min,"['drama', 'romance']",8.8,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",robert zemeckis,"('Tom Hanks',), ('Robin Wright',), ('Gary Sinise',), ('Sally Field',)","20,32,188",$330.25M,"['presidencies', 'kennedy', 'johnson', 'vietnam', 'war', 'watergate', 'scandal', 'historical', 'events', 'unfold', 'perspective', 'alabama', 'man', 'iq', '75', 'whose', 'desire', 'reunited', 'childhood', 'sweetheart']"
6,6,6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the lord of the rings: the fellowship of the ring,PG,178 min,"['action', 'adventure', 'drama']",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,peter jackson,"('Elijah Wood',), ('Ian McKellen',), ('Orlando Bloom',), ('Sean Bean',)","18,23,037",$315.54M,"['meek', 'hobbit', 'shire', 'eight', 'companions', 'set', 'journey', 'destroy', 'powerful', 'one', 'ring', 'save', 'middleearth', 'dark', 'lord', 'sauron']"
7,7,7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the matrix,15,136 min,"['action', 'sci-fi']",8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",lana wachowski,"('Lilly Wachowski',), ('Keanu Reeves',), ('Laurence Fishburne',), ('Carrie-Anne Moss',)","18,81,439",$171.48M,"['beautiful', 'stranger', 'leads', 'computer', 'hacker', 'neo', 'forbidding', 'underworld', 'discovers', 'shocking', 'truththe', 'life', 'knows', 'elaborate', 'deception', 'evil', 'cyberintelligence']"
8,8,8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the lord of the rings: the return of the king,12A,201 min,"['action', 'adventure', 'drama']",9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,peter jackson,"('Elijah Wood',), ('Viggo Mortensen',), ('Ian McKellen',), ('Orlando Bloom',)","18,01,662",$377.85M,"['gandalf', 'aragorn', 'lead', 'world', 'men', 'saurons', 'army', 'draw', 'gaze', 'frodo', 'sam', 'approach', 'mount', 'doom', 'one', 'ring']"
9,9,9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the godfather,X,175 min,"['crime', 'drama']",9.2,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,francis ford coppola,"('Marlon Brando',), ('Al Pacino',), ('James Caan',), ('Diane Keaton',)","18,19,641",$134.97M,"['aging', 'patriarch', 'organized', 'crime', 'dynasty', 'postwar', 'new', 'york', 'city', 'transfers', 'control', 'clandestine', 'empire', 'reluctant', 'youngest', 'son']"
10,10,10,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the dark knight rises,12A,164 min,"['action', 'drama']",8.4,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",christopher nolan,"('Christian Bale',), ('Tom Hardy',), ('Anne Hathaway',), ('Gary Oldman',)","16,75,555",$448.14M,"['eight', 'years', 'jokers', 'reign', 'anarchy', 'batman', 'help', 'enigmatic', 'catwoman', 'forced', 'exile', 'save', 'gotham', 'city', 'brutal', 'guerrilla', 'terrorist', 'bane']"
11,11,11,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the lord of the rings: the two towers,12A,179 min,"['action', 'adventure', 'drama']",8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",peter jackson,"('Elijah Wood',), ('Ian McKellen',), ('Viggo Mortensen',), ('Orlando Bloom',)","16,26,871",$342.55M,"['frodo', 'sam', 'edge', 'closer', 'mordor', 'help', 'shifty', 'gollum', 'divided', 'fellowship', 'makes', 'stand', 'saurons', 'new', 'ally', 'saruman', 'hordes', 'isengard']"
12,12,12,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,seven,18,127 min,"['crime', 'drama', 'mystery']",8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",david fincher,"('Morgan Freeman',), ('Brad Pitt',), ('Kevin Spacey',), ('Andrew Kevin Walker',)","16,14,560",$100.13M,"['two', 'detectives', 'rookie', 'veteran', 'hunt', 'serial', 'killer', 'uses', 'seven', 'deadly', 'sins', 'motives']"
13,13,13,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,avengers assemble,12A,143 min,"['action', 'adventure', 'sci-fi']",8.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,joss whedon,"('Robert Downey Jr.',), ('Chris Evans',), ('Scarlett Johansson',), ('Jeremy Renner',)","13,71,553",$623.28M,"['earths', 'mightiest', 'heroes', 'must', 'come', 'together', 'learn', 'fight', 'team', 'going', 'stop', 'mischievous', 'loki', 'alien', 'army', 'enslaving', 'humanity']"
14,14,14,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,gladiator,15,155 min,"['action', 'adventure', 'drama']",8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,ridley scott,"('Russell Crowe',), ('Joaquin Phoenix',), ('Connie Nielsen',), ('Oliver Reed',)","14,73,434",$187.71M,"['former', 'roman', 'general', 'sets', 'exact', 'vengeance', 'corrupt', 'emperor', 'murdered', 'family', 'sent', 'slavery']"
15,15,15,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,batman begins,12A,140 min,"['action', 'crime', 'drama']",8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",christopher nolan,"('Christian Bale',), ('Michael Caine',), ('Ken Watanabe',), ('Liam Neeson',)","14,45,947",$206.85M,"['training', 'mentor', 'batman', 'begins', 'fight', 'free', 'crimeridden', 'gotham', 'city', 'corruption']"
16,16,16,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,django unchained,18,165 min,"['drama', 'western']",8.4,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",quentin tarantino,"('Jamie Foxx',), ('Christoph Waltz',), ('Leonardo DiCaprio',), ('Kerry Washington',)","15,19,581",$162.81M,"['help', 'german', 'bountyhunter', 'freed', 'slave', 'sets', 'rescue', 'wife', 'brutal', 'plantationowner', 'mississippi']"
17,17,17,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,interstellar,12A,169 min,"['adventure', 'drama', 'sci-fi']",8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,christopher nolan,"('Matthew McConaughey',), ('Anne Hathaway',), ('Jessica Chastain',), ('Mackenzie Foy',)","17,68,779",$188.02M,"['team', 'explorers', 'travel', 'wormhole', 'space', 'attempt', 'ensure', 'humanitys', 'survival']"
18,18,18,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,star wars,U,121 min,"['action', 'adventure', 'fantasy']",8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",george lucas,"('Mark Hamill',), ('Harrison Ford',), ('Carrie Fisher',), ('Alec Guinness',)","13,43,413",$322.74M,"['luke', 'skywalker', 'joins', 'forces', 'jedi', 'knight', 'cocky', 'pilot', 'wookiee', 'two', 'droids', 'save', 'galaxy', 'empires', 'worlddestroying', 'battle', 'station', 'also', 'attempting', 'rescue', 'princess', 'leia', 'mysterious', 'darth', 'vader']"
19,19,19,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the silence of the lambs,18,118 min,"['crime', 'drama', 'thriller']",8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",jonathan demme,"('Jodie Foster',), ('Anthony Hopkins',), ('Lawrence A. Bonney',), ('Kasi Lemmons',)","14,04,480",$130.74M,"['young', 'fbi', 'cadet', 'must', 'receive', 'help', 'incarcerated', 'manipulative', 'cannibal', 'killer', 'help', 'catch', 'another', 'serial', 'killer', 'madman', 'skins', 'victims']"
20,20,20,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,avatar,12A,162 min,"['action', 'adventure', 'fantasy']",7.8,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,james cameron,"('Sam Worthington',), ('Zoe Saldana',), ('Sigourney Weaver',), ('Michelle Rodriguez',)","12,16,143",$760.51M,"['paraplegic', 'marine', 'dispatched', 'moon', 'pandora', 'unique', 'mission', 'becomes', 'torn', 'following', 'orders', 'protecting', 'world', 'feels', 'home']"
21,21,21,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,inglourious basterds,18,153 min,"['adventure', 'drama', 'war']",8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",quentin tarantino,"('Brad Pitt',), ('Diane Kruger',), ('Eli Roth',), ('Mélanie Laurent',)","14,17,255",$120.54M,"['nazioccupied', 'france', 'world', 'war', 'ii', 'plan', 'assassinate', 'nazi', 'leaders', 'group', 'jewish', 'us', 'soldiers', 'coincides', 'theatre', 'owners', 'vengeful', 'plans']"
22,22,22,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,saving private ryan,15,169 min,"['drama', 'war']",8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",steven spielberg,"('Tom Hanks',), ('Matt Damon',), ('Tom Sizemore',), ('Edward Burns',)","13,66,343",$216.54M,"['following', 'normandy', 'landings', 'group', 'us', 'soldiers', 'go', 'behind', 'enemy', 'lines', 'retrieve', 'paratrooper', 'whose', 'brothers', 'killed', 'action']"
23,23,23,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the departed,18,151 min,"['crime', 'drama', 'thriller']",8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,martin scorsese,"('Leonardo DiCaprio',), ('Matt Damon',), ('Jack Nicholson',), ('Mark Wahlberg',)","13,03,531",$132.38M,"['undercover', 'cop', 'mole', 'police', 'attempt', 'identify', 'infiltrating', 'irish', 'gang', 'south', 'boston']"
24,24,24,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,schindler's list,15,195 min,"['biography', 'drama', 'history']",9.0,"In German-occupied Poland during World War II, industrialist",steven spielberg,"('Liam Neeson',), ('Ralph Fiennes',), ('Ben Kingsley',), ('Caroline Goodall',)","13,33,407",$96.90M,"['germanoccupied', 'poland', 'world', 'war', 'ii', 'industrialist']"
25,25,25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,memento,15,113 min,"['mystery', 'thriller']",8.4,A man with short-term memory loss attempts to track down his wife's murderer.,christopher nolan,"('Guy Pearce',), ('Carrie-Anne Moss',), ('Joe Pantoliano',), ('Mark Boone Junior',)","12,20,296",$25.54M,"['man', 'shortterm', 'memory', 'loss', 'attempts', 'track', 'wifes', 'murderer']"
26,26,26,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the prestige,12A,130 min,"['drama', 'mystery', 'sci-fi']",8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",christopher nolan,"('Christian Bale',), ('Hugh Jackman',), ('Scarlett Johansson',), ('Michael Caine',)","13,10,375",$53.09M,"['tragic', 'accident', 'two', 'stage', 'magicians', '1890s', 'london', 'engage', 'battle', 'create', 'ultimate', 'illusion', 'sacrificing', 'everything', 'outwit']"
27,27,27,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,star wars: episode v - the empire strikes back,U,124 min,"['action', 'adventure', 'fantasy']",8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",irvin kershner,"('Mark Hamill',), ('Harrison Ford',), ('Carrie Fisher',), ('Billy Dee Williams',)","12,70,787",$290.48M,"['rebels', 'brutally', 'overpowered', 'empire', 'ice', 'planet', 'hoth', 'luke', 'skywalker', 'begins', 'jedi', 'training', 'yoda', 'friends', 'pursued', 'across', 'galaxy', 'darth', 'vader', 'bounty', 'hunter', 'boba', 'fett']"
28,28,28,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,american beauty,18,122 min,['drama'],8.4,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,sam mendes,"('Kevin Spacey',), ('Annette Bening',), ('Thora Birch',), ('Wes Bentley',)","11,41,239",$130.10M,"['sexually', 'frustrated', 'suburban', 'father', 'midlife', 'crisis', 'becoming', 'infatuated', 'daughters', 'best', 'friend']"
29,29,29,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,pirates of the caribbean: the curse of the black pearl,12A,143 min,"['action', 'adventure', 'fantasy']",8.1,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",gore verbinski,"('Johnny Depp',), ('Geoffrey Rush',), ('Orlando Bloom',), ('Keira Knightley',)","11,10,566",$305.41M,"['blacksmith', 'turner', 'teams', 'eccentric', 'pirate', 'captain', 'jack', 'sparrow', 'save', 'love', 'governors', 'daughter', 'jacks', 'former', 'pirate', 'allies', 'undead']"
30,30,30,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,titanic,12,194 min,"['drama', 'romance']",7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",james cameron,"('Leonardo DiCaprio',), ('Kate Winslet',), ('Billy Zane',), ('Kathy Bates',)","11,52,050",$659.33M,"['seventeenyearold', 'aristocrat', 'falls', 'love', 'kind', 'poor', 'artist', 'aboard', 'luxurious', 'illfated', 'rms', 'titanic']"
31,31,31,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,v for vendetta,15,132 min,"['action', 'drama', 'sci-fi']",8.2,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",james mcteigue,"('Hugo Weaving',), ('Natalie Portman',), ('Rupert Graves',), ('Stephen Rea',)","11,08,869",$70.51M,"['future', 'british', 'dystopian', 'society', 'shadowy', 'freedom', 'fighter', 'known', 'alias', 'plots', 'overthrow', 'tyrannical', 'government', 'help', 'young', 'woman']"
32,32,32,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the godfather: part ii,X,202 min,"['crime', 'drama']",9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",francis ford coppola,"('Al Pacino',), ('Robert De Niro',), ('Robert Duvall',), ('Diane Keaton',)","12,49,182",$57.30M,"['early', 'life', 'career', 'vito', 'corleone', '1920s', 'new', 'york', 'city', 'portrayed', 'son', 'michael', 'expands', 'tightens', 'grip', 'family', 'crime', 'syndicate']"
33,33,33,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,shutter island,15,138 min,"['mystery', 'thriller']",8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",martin scorsese,"('Leonardo DiCaprio',), ('Emily Mortimer',), ('Mark Ruffalo',), ('Ben Kingsley',)","12,80,796",$128.01M,"['1954', 'us', 'marshal', 'investigates', 'disappearance', 'murderer', 'escaped', 'hospital', 'criminally', 'insane']"
34,34,34,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,american history x,18,119 min,"['crime', 'drama']",8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,tony kaye,"('Edward Norton',), ('Edward Furlong',), (""Beverly D'Angelo"",), ('Jennifer Lien',)","11,07,621",$6.72M,"['former', 'neonazi', 'skinhead', 'tries', 'prevent', 'younger', 'brother', 'going', 'wrong', 'path']"
35,35,35,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the green mile,18,189 min,"['crime', 'drama', 'fantasy']",8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",frank darabont,"('Tom Hanks',), ('Michael Clarke Duncan',), ('David Morse',), ('Bonnie Hunt',)","12,76,092",$136.80M,"['lives', 'guards', 'death', 'row', 'affected', 'one', 'charges', 'black', 'man', 'accused', 'child', 'murder', 'rape', 'yet', 'mysterious', 'gift']"
36,36,36,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the wolf of wall street,18,180 min,"['biography', 'comedy', 'crime']",8.2,Based on the true story of,martin scorsese,"('Leonardo DiCaprio',), ('Jonah Hill',), ('Margot Robbie',), ('Matthew McConaughey',)","13,69,335",$116.90M,"['based', 'true', 'story']"
37,37,37,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,terminator 2: judgment day,15,137 min,"['action', 'sci-fi']",8.6,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",james cameron,"('Arnold Schwarzenegger',), ('Linda Hamilton',), ('Edward Furlong',), ('Robert Patrick',)","10,81,554",$204.84M,"['cyborg', 'identical', 'one', 'failed', 'kill', 'sarah', 'connor', 'must', 'protect', 'tenyearold', 'son', 'john', 'advanced', 'powerful', 'cyborg']"
38,38,38,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the usual suspects,18,106 min,"['crime', 'drama', 'mystery']",8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",bryan singer,"('Kevin Spacey',), ('Gabriel Byrne',), ('Chazz Palminteri',), ('Stephen Baldwin',)","10,71,201",$23.34M,"['sole', 'survivor', 'tells', 'twisty', 'events', 'leading', 'horrific', 'gun', 'battle', 'boat', 'began', 'five', 'criminals', 'met', 'seemingly', 'random', 'police', 'lineup']"
39,39,39,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,braveheart,15,178 min,"['biography', 'drama', 'history']",8.4,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,mel gibson,"('Mel Gibson',), ('Sophie Marceau',), ('Patrick McGoohan',), ('Angus Macfadyen',)","10,26,238",$75.60M,"['scottish', 'warrior', 'william', 'wallace', 'leads', 'countrymen', 'rebellion', 'free', 'homeland', 'tyranny', 'king', 'edward', 'england']"
40,40,40,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,kill bill: vol. 1,18,111 min,"['action', 'crime', 'drama']",8.2,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",quentin tarantino,"('Uma Thurman',), ('David Carradine',), ('Daryl Hannah',), ('Michael Madsen',)","10,97,925",$70.10M,"['awakening', 'fouryear', 'coma', 'former', 'assassin', 'wreaks', 'vengeance', 'team', 'assassins', 'betrayed']"
41,41,41,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,back to the future,PG,116 min,"['adventure', 'comedy', 'sci-fi']",8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",robert zemeckis,"('Michael J. Fox',), ('Christopher Lloyd',), ('Lea Thompson',), ('Crispin Glover',)","11,79,469",$210.61M,"['marty', 'mcfly', '17yearold', 'high', 'school', 'student', 'accidentally', 'sent', '30', 'years', 'past', 'timetraveling', 'delorean', 'invented', 'close', 'friend', 'maverick', 'scientist', 'doc', 'brown']"
42,42,42,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,goodfellas,18,145 min,"['biography', 'crime', 'drama']",8.7,The story of,martin scorsese,"('Robert De Niro',), ('Ray Liotta',), ('Joe Pesci',), ('Lorraine Bracco',)","11,37,965",$46.84M,['story']
43,43,43,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,leon,18,110 min,"['action', 'crime', 'drama']",8.5,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",luc besson,"('Jean Reno',), ('Gary Oldman',), ('Natalie Portman',), ('Danny Aiello',)","11,41,442",$19.50M,"['12yearold', 'mathilda', 'reluctantly', 'taken', 'léon', 'professional', 'assassin', 'family', 'murdered', 'unusual', 'relationship', 'forms', 'becomes', 'protégée', 'learns', 'assassins', 'trade']"
44,44,44,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,wall·e,U,98 min,"['animation', 'adventure', 'family']",8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",andrew stanton,"('Ben Burtt',), ('Elissa Knight',), ('Jeff Garlin',), ('Fred Willard',)","10,98,734",$223.81M,"['distant', 'future', 'small', 'wastecollecting', 'robot', 'inadvertently', 'embarks', 'space', 'journey', 'ultimately', 'decide', 'fate', 'mankind']"
45,45,45,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the sixth sense,15,107 min,"['drama', 'mystery', 'thriller']",8.2,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",m. night shyamalan,"('Bruce Willis',), ('Haley Joel Osment',), ('Toni Collette',), ('Olivia Williams',)","9,79,569",$293.51M,"['frightened', 'withdrawn', 'philadelphia', 'boy', 'communicates', 'spirits', 'seeks', 'help', 'disheartened', 'child', 'psychologist']"
46,46,46,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the hunger games,12A,142 min,"['action', 'adventure', 'sci-fi']",7.2,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,gary ross,"('Jennifer Lawrence',), ('Josh Hutcherson',), ('Liam Hemsworth',), ('Stanley Tucci',)","9,07,228",$408.01M,"['katniss', 'everdeen', 'voluntarily', 'takes', 'younger', 'sisters', 'place', 'hunger', 'games', 'televised', 'competition', 'two', 'teenagers', 'twelve', 'districts', 'panem', 'chosen', 'random', 'fight', 'death']"
47,47,47,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,iron man,12A,126 min,"['action', 'adventure', 'sci-fi']",7.9,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",jon favreau,"('Robert Downey Jr.',), ('Gwyneth Paltrow',), ('Terrence Howard',), ('Jeff Bridges',)","10,42,059",$318.41M,"['held', 'captive', 'afghan', 'cave', 'billionaire', 'engineer', 'tony', 'stark', 'creates', 'unique', 'weaponized', 'suit', 'armor', 'fight', 'evil']"
48,48,48,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,finding nemo,U,100 min,"['animation', 'adventure', 'comedy']",8.2,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",andrew stanton,"('Lee Unkrich',), ('Albert Brooks',), ('Ellen DeGeneres',), ('Alexander Gould',)","10,29,876",$380.84M,"['son', 'captured', 'great', 'barrier', 'reef', 'taken', 'sydney', 'timid', 'clownfish', 'sets', 'journey', 'bring', 'home']"
49,49,49,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,star wars: return of the jedi,U,131 min,"['action', 'adventure', 'fantasy']",8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",richard marquand,"('Mark Hamill',), ('Harrison Ford',), ('Carrie Fisher',), ('Billy Dee Williams',)","10,37,803",$309.13M,"['daring', 'mission', 'rescue', 'han', 'solo', 'jabba', 'hutt', 'rebels', 'dispatch', 'endor', 'destroy', 'second', 'death', 'star', 'meanwhile', 'luke', 'struggles', 'help', 'darth', 'vader', 'back', 'dark', 'side', 'without', 'falling', 'emperors', 'trap']"
